from,to,shift_score
2018-11-07,2018-11-08,0.6398752075357949
2018-10-26,2018-10-29,0.5432502014369639
2018-11-26,2018-11-27,0.5330738931057203
2018-10-24,2018-10-25,0.455753112841304
2018-11-16,2018-11-19,0.4552519425692033
