model,top_n,observation_count,mean_daily_return,cumulative_return,annualized_volatility,sharpe_ratio,max_drawdown,average_turnover
cp,20,11,-0.005219796779941909,-0.059525794040243274,0.4147771869684085,-3.1713142136854016,-0.12971508647890595,0.11363636363636366
pca,20,11,-0.0021887519352380785,-0.025812347239455247,0.305959465228415,-1.8027403965692739,-0.06857716961844162,0.13636363636363638
tucker,20,11,-0.01138256624338419,-0.11926078749025182,0.21914067320279898,-13.089339607341222,-0.11926078749025182,0.12727272727272732
