model,top_n,observation_count,mean_daily_return,cumulative_return,annualized_volatility,sharpe_ratio,max_drawdown,average_turnover
cp,5,49,-0.002411448194910195,-0.12245546171137867,0.35599225274779217,-1.7070173309302106,-0.3092414330035794,0.11836734693877553
pca,5,49,-0.0026267716162838503,-0.12659851816880097,0.2584070119864127,-2.5616427441927785,-0.2808916175400049,0.024489795918367346
tucker,5,49,-0.0035759377778822555,-0.16703479395771414,0.27251263879071425,-3.3067689044631363,-0.29046276198631804,0.02857142857142857
