model,rank,mse,rmse,explained_variance,compression_ratio,bic,ic_mean,rank_ic_mean,ir,rolling_stability
cp,2,1.154757131491443,1.0745962644134974,0.003488199672418313,6.280373831775701,3766.501000213904,-0.00022431488089493388,-0.0031135531135531073,-0.0006296975792000956,0.6901438807823675
tucker,"(3, 2, 2)",0.6900025419073013,0.830663916338793,0.4045538611408459,5.946902654867257,2571.832547932562,-0.10815607073951247,-0.08690476190476192,-0.3272290073877964,0.9725462395096353
pca,3,0.10920866000885938,0.33046733576687937,0.9057570501805576,0.327565196197904,58846.54913895493,0.08119403752225837,0.0027472527472527466,0.21550365312527014,0.9683354140466287
