model,exposure_type,name,weight
cp,industry,J66货币金融服务,0.3
cp,industry,C31黑色金属冶炼和压延加工业,0.16666666666666666
cp,industry,B07石油和天然气开采业,0.1375
cp,industry,C36汽车制造业,0.12083333333333333
cp,industry,G55水上运输业,0.07916666666666666
cp,industry,D44电力、热力生产和供应业,0.075
cp,industry,I63电信、广播电视和卫星传输服务,0.07083333333333333
cp,industry,C38电气机械和器材制造业,0.03333333333333333
cp,industry,C32有色金属冶炼和压延加工业,0.016666666666666666
cp,style,quality_factor,0.7791666666666667
cp,style,value_factor,0.2125
cp,style,volatility_factor,0.008333333333333333
