trade_date,model,portfolio_return,benchmark_return,excess_return,cumulative_nav,drawdown
2025-10-27,pca,-0.0032679170589791974,0.012978062599013684,-0.016245979657992883,0.9837540203420071,-0.016245979657992904
2025-10-28,pca,0.03612345000126138,-0.005400390538713773,0.041523840539975154,1.024603265413248,0.0
2025-10-29,pca,0.01653477542906414,0.013449911074233878,0.003084864354830262,1.027764027504564,0.0
2025-10-30,pca,0.060785951166961685,-0.008807869579013916,0.0695938207459756,1.0992900530038787,0.0
2025-10-31,pca,0.0945423404853746,-0.012386469157638635,0.10692880964301324,1.2168358298239883,0.0
2025-11-03,pca,0.0554785191220609,0.0019144942797990616,0.05356402484226184,1.2820144544416345,0.0
2025-11-04,pca,0.03454647038223402,-0.010553391689203995,0.04509986207143801,1.3398331295105421,0.0
2025-11-05,pca,0.013099342325473629,0.0022943362412990442,0.010805006084174585,1.3543100346266823,0.0
2025-11-06,pca,0.0025453230448436504,0.015401752321077655,-0.012856429276234005,1.3368984434484104,-0.012856429276233983
2025-11-07,pca,-0.010239850493073499,-0.002023601584799639,-0.00821624890827386,1.3259141530719543,-0.020967046561502722
2025-11-10,pca,-0.043573735256037714,0.0023603195947436983,-0.04593405485078141,1.2650095396373198,-0.06593799994546923
2025-11-11,pca,-0.04089068337394584,-0.008368542372400256,-0.03252214100154558,1.2238687210209345,-0.09631569601542844
2025-11-12,pca,-0.03463621108757253,-0.002455160220677932,-0.0321810508668946,1.1844833394553584,-0.1253972065695702
2025-11-13,pca,-0.0179450852551593,0.014338479974024487,-0.03228356522918378,1.14624399430317,-0.1536325029009079
2025-11-14,pca,-0.03875279176104487,-0.016082936594958963,-0.022669855166085905,1.1202588089673213,-0.1728195314774269
2025-11-17,pca,-0.022663508670920107,-0.004204188011144083,-0.018459320659776023,1.0995795923906546,-0.1880887209893889
2025-11-18,pca,0.0032054924901301794,-0.00786446478499514,0.01106995727512532,1.111751891499019,-0.17910089781954908
2025-11-19,pca,-0.010642678806722006,0.0028818129223111555,-0.013524491729033162,1.0967160122377035,-0.19020314093735924
2025-11-20,pca,-0.02460972555644072,-0.00668132458212245,-0.01792840097431827,1.0770536478153507,-0.2047215037343777
2025-11-21,pca,0.001097640979942649,-0.027314151089844918,0.028411792069787566,1.1076546721050866,-0.18212621646090565
2025-11-24,pca,0.015348077585204133,0.0015621508865020228,0.01378592669870211,1.1229247182222024,-0.1708510684322454
2025-11-25,pca,-0.0018173084490746172,0.010985488282458267,-0.012802796731532885,1.1085481413099898,-0.18146649366327494
2025-11-26,pca,-0.002170537849619958,0.005490542211904259,-0.007661080061524217,1.1000554652473602,-0.18773734438836065
2025-11-27,pca,-0.004441734729451996,-0.0012153021104579498,-0.0032264326189940466,1.0965062104115835,-0.19035805511561676
2025-11-28,pca,0.0025550486229387382,0.00461785879802723,-0.002062810175088492,1.0942443262436987,-0.19202819275770266
2025-12-01,pca,-0.010238435779658505,0.011825162563821712,-0.022063598343480217,1.0701013589398256,-0.20985495818555255
2025-12-02,pca,-0.013508925083329482,-0.006192237270402301,-0.007316687812927181,1.0622717613682737,-0.2156362027834412
2025-12-03,pca,-0.018706598281813248,-0.005587449896640395,-0.013119148385172853,1.0483356605055045,-0.22592638782708285
2025-12-04,pca,-0.01964992712455438,0.0038837485433644847,-0.023533675667918863,1.0236644690800545,-0.24414318515905464
2025-12-05,pca,-0.018136724913606385,0.009520757998809914,-0.0276574829124163,0.9953524865184251,-0.2650482820997515
2025-12-08,pca,-0.014015518388643521,0.008636590342326,-0.02265210873096952,0.9728056537681689,-0.28169648832564087
2025-12-09,pca,-0.01329619481186355,-0.005635302092829697,-0.007660892719033852,0.9653530940181814,-0.2871993344682834
2025-12-10,pca,0.016196341860400688,0.0004629269642300038,0.015733414896170684,0.9805413947676715,-0.2759845458592062
2025-12-11,pca,0.018407769390155492,-0.008364979150813578,0.02677274854096907,1.0067931829637975,-0.2566006621657192
2025-12-12,pca,0.014898163374650308,0.008034544165386182,0.0068636192092641265,1.013703427994144,-0.25149825219040567
2025-12-15,pca,0.03019531589698652,-0.0072815841197456654,0.037476900016732186,1.051693890011699,-0.22344672702539636
2025-12-16,pca,0.02634833630328106,-0.01369551120922663,0.04004384751250769,1.0938077597731637,-0.19235054617706238
2025-12-17,pca,0.05301769323238799,0.019547805788809658,0.03346988744357833,1.1304173823776842,-0.16531860986374103
2025-12-18,pca,0.05128610870830903,-0.006252739649107442,0.057538848357416475,1.1954602967229013,-0.11729200392993333
2025-12-19,pca,0.08207692778957898,0.0054518014093389855,0.07662512638024,1.2870625930418529,-0.04965439217421608
2025-12-22,pca,0.08481951597726944,0.011622194384871998,0.07319732159239745,1.3812721275742825,0.0
2025-12-23,pca,0.09663231373936336,0.0021773100991349104,0.09445500364022845,1.5117401914124575,0.0
2025-12-24,pca,0.0968387651037016,0.005380487551922997,0.0914582775517786,1.6500013454248372,0.0
2025-12-25,pca,0.0,0.002529115058728104,-0.002529115058728104,1.6458283021752016,-0.002529115058728104
2025-12-26,pca,0.0,0.005513825367144731,-0.005513825367144731,1.6367534923327032,-0.008028995327105659
2025-12-29,pca,0.0,-0.004774322402616771,0.004774322402616771,1.6445678811987086,-0.003293005936749527
2025-12-30,pca,0.0,0.0031786496855032986,-0.0031786496855032986,1.6393403760203475,-0.006461188309967558
2025-12-31,pca,0.0,-0.0028045360321912183,0.0028045360321912183,1.6439379651739228,-0.0036747729132022844
