trade_date,model,long_quantile,short_quantile,long_return,short_return,long_short_return,cumulative_nav,drawdown
2025-10-27,tucker,1,5,-0.07480870845453019,0.002900231150368119,-0.07770893960489832,0.9222910603951017,-0.07770893960489833
2025-10-28,tucker,1,5,-0.02859205674951998,0.004620393678575474,-0.03321245042809545,0.8916595142714537,-0.10834048572854627
2025-10-29,tucker,1,5,0.009673525189983323,0.003434175543059581,0.006239349646923742,0.8972228897469995,-0.10277711025300051
2025-10-30,tucker,1,5,0.010985688807690686,0.007103309224650338,0.003882379583040348,0.9007062495755896,-0.09929375042441035
2025-10-31,tucker,1,5,0.024483649743243907,0.056775584528015934,-0.032291934784772026,0.8716207021040582,-0.12837929789594182
2025-11-03,tucker,1,5,0.021086059557107628,0.033406903644059995,-0.012320844086952366,0.8608815993304741,-0.13911840066952585
2025-11-04,tucker,1,5,0.0009168950936019327,0.01465172917279591,-0.013734834079193977,0.849057533401839,-0.15094246659816102
2025-11-05,tucker,1,5,-0.00510714330547879,-0.00791241744716853,0.0028052741416897398,0.851439372545098,-0.14856062745490195
2025-11-06,tucker,1,5,0.001240694789081842,-0.014954035110313235,0.016194729899395077,0.8652282032091765,-0.13477179679082352
2025-11-07,tucker,1,5,0.0003032809484421195,-0.047750854014730615,0.048054134963172734,0.9068059960601337,-0.09319400393986632
2025-11-10,tucker,1,5,-0.0062611693162472615,-0.05059357558260228,0.04433240626635502,0.9470068878822383,-0.0529931121177617
2025-11-11,tucker,1,5,-0.006950630795727386,-0.039478421201278945,0.03252779040555156,0.9778109294438855,-0.02218907055611452
2025-11-12,tucker,1,5,-0.0001987146964315123,-0.027668946841756487,0.027470232145324975,1.004671622669945,0.0
2025-11-13,tucker,1,5,0.021517246064229,-0.0325674255582197,0.0540846716224487,1.0590089574704418,0.0
2025-11-14,tucker,1,5,0.0018547094783074591,-0.05341806650411205,0.05527277598241951,1.117543322340081,0.0
2025-11-17,tucker,1,5,0.0021580110260205343,-0.033894847875139855,0.03605285890116039,1.157833954056342,0.0
2025-11-18,tucker,1,5,0.015607589218491258,-0.013402893085222986,0.029010482303714245,1.1914232754911331,0.0
2025-11-19,tucker,1,5,-0.00223771372492626,-0.018592068739845164,0.016354355014918904,1.2109082347115527,0.0
2025-11-20,tucker,1,5,-0.011752136752136766,-0.027753102987267558,0.01600096623513079,1.2302839364890141,0.0
2025-11-21,tucker,1,5,-0.004169201135442002,0.02476481497613192,-0.028934016111573924,1.1946868812488305,-0.028934016111573868
2025-11-24,tucker,1,5,0.011517395186683821,0.02498907086406001,-0.013471675677376189,1.1785924470486302,-0.042015902107851
2025-11-25,tucker,1,5,-0.00810126529480093,0.003928438730999721,-0.012029704025800652,1.164414328743591,-0.05354016726691713
2025-11-26,tucker,1,5,-0.012717770034843201,0.005077233984806732,-0.017795004019649934,1.143693571083061,-0.0703824237948395
2025-11-27,tucker,1,5,-0.028027363692056273,0.03079634818788296,-0.05882371187993923,1.076417269978732,-0.12506598025605942
2025-11-28,tucker,1,5,-0.019361832633345566,0.04096338883370506,-0.060325221467050626,1.0114821597763068,-0.17784656876616955
2025-12-01,tucker,1,5,-0.024571422605499993,0.032531869364361234,-0.057103291969861227,0.9537231986842946,-0.22479423619393823
2025-12-02,tucker,1,5,-0.023880739390342076,0.03326755634905859,-0.05714829573940067,0.8992195432723573,-0.26909592444281505
2025-12-03,tucker,1,5,-0.016894807968961145,0.03973186652232739,-0.05662667449128853,0.8482997308992684,-0.310484591613748
2025-12-04,tucker,1,5,-0.006443893024538183,0.032797945460364554,-0.03924183848490274,0.8150108898725329,-0.3375424439024929
2025-12-05,tucker,1,5,0.0018260299517636192,0.026865413200088284,-0.025039383248324665,0.7946035198494564,-0.35412997253536693
2025-12-08,tucker,1,5,0.0006025021949077614,0.022522959880517408,-0.021920457685609646,0.7771854470157599,-0.368287739142809
2025-12-09,tucker,1,5,8.344385007708066e-05,0.0006016488157860415,-0.0005182049657089608,0.7767827056578396,-0.3686150955732844
2025-12-10,tucker,1,5,0.008980293432948872,0.004457121370050221,0.0045231720628986505,0.7802962274910139,-0.36575923301264557
2025-12-11,tucker,1,5,0.01741768461717319,0.002002261737344857,0.015415422879828333,0.7923248238093227,-0.3559821433819088
2025-12-12,tucker,1,5,0.0047273570529384745,0.004089846177261307,0.0006375108756771679,0.7928299395015701,-0.35557157499418457
2025-12-15,tucker,1,5,-0.004693950068654473,0.018316990057862487,-0.02301094012651696,0.7745861772331895,-0.3704004788978189
2025-12-16,tucker,1,5,0.004409129859001271,0.03333723387220944,-0.028928104013208167,0.7521788677309945,-0.38861359933092887
2025-12-17,tucker,1,5,0.0001894888013226348,0.05173685511653433,-0.051547366315211694,0.7134060281015038,-0.4201289580863562
2025-12-18,tucker,1,5,-0.009330300634620314,0.06992928314256125,-0.07925958377718156,0.6568617632500463,-0.46608929551287226
2025-12-19,tucker,1,5,-0.005110713902848341,0.082315336086348,-0.08742604998919634,0.5994349339001561,-0.5127669994531309
2025-12-22,tucker,1,5,0.020189003436426045,0.06403952934932657,-0.04385052591290052,0.5731493967980695,-0.5341324227692317
