left,right,score
600007.SH,600008.SH,0.9947694009590451
600007.SH,600062.SH,0.9941926943522885
600008.SH,600062.SH,0.9869644784266123
600004.SH,600095.SH,0.9842609038399989
600061.SH,600062.SH,0.9619202970093608
