model,exposure_type,name,weight
cp,industry,J67资本市场服务,0.2625
cp,industry,C37铁路、船舶、航空航天和其他运输设备制造业,0.17916666666666667
cp,industry,K70房地产业,0.14166666666666666
cp,industry,D46水的生产和供应业,0.125
cp,industry,C27医药制造业,0.08333333333333333
cp,industry,G56航空运输业,0.08333333333333333
cp,industry,C26化学原料和化学制品制造业,0.07916666666666666
cp,industry,D44电力、热力生产和供应业,0.041666666666666664
cp,industry,C39计算机、通信和其他电子设备制造业,0.004166666666666667
cp,style,quality_factor,0.6625
cp,style,momentum_factor,0.19583333333333333
cp,style,value_factor,0.14166666666666666
