model,exposure_type,name,weight
pca,industry,D44电力、热力生产和供应业,0.4
pca,industry,J67资本市场服务,0.175
pca,industry,C39计算机、通信和其他电子设备制造业,0.16666666666666666
pca,industry,C27医药制造业,0.13333333333333333
pca,industry,G56航空运输业,0.041666666666666664
pca,industry,K70房地产业,0.0375
pca,industry,D46水的生产和供应业,0.029166666666666667
pca,industry,C26化学原料和化学制品制造业,0.016666666666666666
pca,style,quality_factor,0.5416666666666666
pca,style,momentum_factor,0.2708333333333333
pca,style,volatility_factor,0.175
pca,style,value_factor,0.0125
