trade_date,model,cumulative_nav,drawdown
2025-10-27,tucker,0.9771868695912068,-0.02281313040879318
2025-10-28,tucker,0.9633298353322005,-0.03667016466779949
2025-10-29,tucker,0.9384860097964569,-0.06151399020354309
2025-10-30,tucker,0.9361539058445318,-0.06384609415546816
2025-10-31,tucker,0.950292797260808,-0.04970720273919205
2025-11-03,tucker,0.9635603772395268,-0.03643962276047319
2025-11-04,tucker,0.973800079893326,-0.026199920106674046
2025-11-05,tucker,0.9755218298935235,-0.02447817010647646
2025-11-06,tucker,0.9656949959515199,-0.03430500404848014
2025-11-07,tucker,0.9521440975398868,-0.047855902460113176
2025-11-10,tucker,0.9263290769054773,-0.07367092309452272
2025-11-11,tucker,0.895669003876947,-0.10433099612305297
2025-11-12,tucker,0.870181073876726,-0.12981892612327395
2025-11-13,tucker,0.8435022037076141,-0.15649779629238592
2025-11-14,tucker,0.8011015933027886,-0.19889840669721137
2025-11-17,tucker,0.7681166314854966,-0.23188336851450342
2025-11-18,tucker,0.7462971082789216,-0.2537028917210784
2025-11-19,tucker,0.7240663273399173,-0.27593367266008273
2025-11-20,tucker,0.7053872572500188,-0.29461274274998117
2025-11-21,tucker,0.7072301685086946,-0.2927698314913054
2025-11-24,tucker,0.7150224994078413,-0.28497750059215865
2025-11-25,tucker,0.7191813427247368,-0.28081865727526323
2025-11-26,tucker,0.7276060653999038,-0.2723939346000962
2025-11-27,tucker,0.7349154538720699,-0.2650845461279301
2025-11-28,tucker,0.748221027677315,-0.251778972322685
2025-12-01,tucker,0.7555253065983681,-0.24447469340163186
2025-12-02,tucker,0.7592872071375971,-0.24071279286240288
2025-12-03,tucker,0.7630560988268453,-0.23694390117315467
2025-12-04,tucker,0.7598165202952276,-0.24018347970477238
2025-12-05,tucker,0.7537335866295775,-0.24626641337042254
2025-12-08,tucker,0.7518453331809128,-0.24815466681908716
2025-12-09,tucker,0.7508533141531307,-0.24914668584686928
2025-12-10,tucker,0.7528851184561144,-0.2471148815438856
2025-12-11,tucker,0.7588750277723307,-0.24112497222766927
2025-12-12,tucker,0.7642454419900776,-0.2357545580099224
2025-12-15,tucker,0.7619256460989117,-0.23807435390108833
2025-12-16,tucker,0.7625836851677599,-0.23741631483224013
2025-12-17,tucker,0.76053086604674,-0.23946913395325997
2025-12-18,tucker,0.7627856167486575,-0.23721438325134248
2025-12-19,tucker,0.7651423185962474,-0.23485768140375263
2025-12-22,tucker,0.7629624480812766,-0.23703755191872344
2025-12-23,tucker,0.7581144143228249,-0.2418855856771751
2025-12-24,tucker,0.7488051583839148,-0.2511948416160852
2025-12-25,tucker,0.7430561251192442,-0.25694387488075576
2025-12-26,tucker,0.745410764032304,-0.254589235967696
2025-12-29,tucker,0.7543921814839674,-0.24560781851603264
2025-12-30,tucker,0.762852934041247,-0.237147065958753
2025-12-31,tucker,0.776301589547061,-0.22369841045293903
