model,top_n,observation_count,mean_daily_return,cumulative_return,annualized_volatility,sharpe_ratio,max_drawdown,average_turnover
cp,5,48,-0.004046462121976106,-0.1822667521737943,0.2615316106084424,-3.898987401047505,-0.241622128459825,0.1458333333333333
pca,5,48,-0.0003368955291599973,-0.030365401980515627,0.39216238368893963,-0.2164860192599695,-0.29201579421983326,0.12916666666666665
tucker,5,48,-0.005549974701295286,-0.23903963080274082,0.2490220653799579,-5.616344168507468,-0.2858756033868811,0.0375
