trade_date,model,long_quantile,short_quantile,long_return,short_return,long_short_return,cumulative_nav,drawdown
2025-10-27,tucker,1,5,-0.024163484010716496,-0.00515927600406213,-0.019004208006654366,0.9809957919933456,-0.019004208006654366
2025-10-28,tucker,1,5,-0.016666666666666663,0.005570054929414869,-0.022236721596081532,0.9591816616798622,-0.040818338320137815
2025-10-29,tucker,1,5,-0.022274143302180638,0.004230357025282877,-0.026504500327463515,0.9337590310137712,-0.06624096898622878
2025-10-30,tucker,1,5,-0.004249815225425002,0.011307056501309365,-0.015556871726734367,0.9192326615446103,-0.08076733845538975
2025-10-31,tucker,1,5,0.016472868217054293,-0.0014101971450280193,0.017883065362082312,0.9356713593139734,-0.06432864068602662
2025-11-03,tucker,1,5,0.011847461685823735,0.009583672853032521,0.0022637888327912137,0.937789521688351,-0.06221047831164905
2025-11-04,tucker,1,5,0.010753843857292167,0.00471870283888956,0.006035141018402607,0.9434492136973204,-0.05655078630267962
2025-11-05,tucker,1,5,0.005647373941487843,-0.014765372288014694,0.020412746229502537,0.9627076030769475,-0.03729239692305253
2025-11-06,tucker,1,5,-0.008017620118632829,-0.013617787331587888,0.0056001672129550595,0.9680989266313615,-0.031901073368638455
2025-11-07,tucker,1,5,-0.008122239409035004,-0.010262183436919897,0.0021399440278848936,0.9701706041478081,-0.02982939585219191
2025-11-10,tucker,1,5,-0.021156950357928195,-0.024664777157139967,0.0035078267992117718,0.9735737945928452,-0.02642620540715479
2025-11-11,tucker,1,5,-0.037470849187284105,-0.03015205151217412,-0.007318797675109984,0.9664484049684311,-0.033551595031568904
2025-11-12,tucker,1,5,-0.03250908238603073,-0.007861364139272686,-0.024647718246758044,0.9426276569827405,-0.057372343017259464
2025-11-13,tucker,1,5,-0.025769043980905626,-0.010936411840554161,-0.014832632140351465,0.9286460077013942,-0.07135399229860584
2025-11-14,tucker,1,5,-0.04279453004944961,-0.025355101351824005,-0.017439428697625603,0.912450951864751,-0.087549048135249
2025-11-17,tucker,1,5,-0.03874946571411131,-0.021437602236876158,-0.01731186347723515,0.8966547255563952,-0.10334527444360475
2025-11-18,tucker,1,5,-0.022549464970724853,-0.014808590344085937,-0.007740874626638916,0.8897138337424798,-0.11028616625752019
2025-11-19,tucker,1,5,-0.026417267628205177,-0.02577217438123644,-0.0006450932469687365,0.8891398853565979,-0.11086011464340206
